Course_Name,CourseMnemonic,Course_description,Active
Business Analytics for Data Scientists,ds_biz_anaytics,Focuses on the application of data science to critical problems and opportunities in business. ,TRUE
Technical Bootcamp,ds_tech_bootcamp,Bootcamp for new online MSDS students,TRUE
Exploratory Text Analytics,ds5001,Introduction to text analytics with a focus on long-form documents such as reviews news articles and novels. Focus on unsupervised methods.,TRUE
Foundations of Computer Science,ds5012,A foundation in discrete mathematics data structures algorithmic design and implementation computational complexity parallel computing and data integrity.,TRUE
Programming for Data Science,ds5100,Programming essentials for data science: Python  R  GitHub,TRUE
Big Data Systems,ds5110,Use Spark for large-scale analytics and machine learning. Basics of AWS cloud tools.,TRUE
Practice and Application of Data Science,ds6001,Build skills to acquire clean analyze understand and interpret data,TRUE
Big Data Ethics,ds6002,Examines the ethical issues arising around big data.,TRUE
Data Science Capstone Project Work I,ds6011,Data science capstone part 1,TRUE
Data Science Capstone Project Work II,ds6013,Data science capstone part 2,TRUE
Statistical Learning,ds6030,Fundamentals of data mining and machine learning within a common statistical framework,TRUE
Bayesian Machine Learning,ds6040,Build Bayesian models to provide predictions and quantify the uncertainty in these predictions,TRUE
Deep Learning,ds6050,Deep learning fundamentals and applications,TRUE
Data Visualization,sarc5400,Teaches visual and spatial thinking coupled with visual data tools and interactive web coding to envision information,TRUE
Linear Models for Data Science,stat6021,An introduction to linear statistical models in the context of data science,TRUE
Practice and Application of Data Science Part 2,ds6003,Practitioner seminar,FALSE
Big Data Ethics Part 2,ds6012,Examines the ethical issues arising around big data.,FALSE